Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003439,N,AMAZON AWS SERVICOS BRASIL LTDA,13,00003439,N,10757,C.E.S.A.R - CURITIBA,38,CAMILLA M ARRUDA DA P DE MOURA,,Não,3/7/2022,3/16/2022,00,001,0,0,"610,9",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"610,9","610,9",Não,00000001,Padrão,,S,3/7/2022,0,0
00003440,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003440,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,3/8/2022,3/8/2022,00,001,0,0,"867,24",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"867,24","867,24",Não,00000001,Padrão,,S,3/8/2022,0,0
00003441,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003441,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,3/8/2022,3/8/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,3/8/2022,0,0
00003442,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003442,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,3/16/2022,3/16/2022,01,001,0,0,"19,14",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"19,14","19,14",Não,00000001,Padrão,,S,3/16/2022,0,0
00003443,N,UBER DO BRASIL TECNOLOGIA LTDA.,13,00003443,N,10038,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,3/23/2022,3/23/2022,08,001,0,0,"32,82",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"32,82","32,82",Não,00000001,Padrão,,S,3/23/2022,0,0
00003444,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003444,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,4/1/2022,4/4/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,4/1/2022,0,0
00003445,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003445,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,4/6/2022,4/6/2022,00,001,0,0,"770,88",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"770,88","770,88",Não,00000001,Padrão,,S,4/6/2022,0,0
00003446,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003446,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,4/7/2022,4/14/2022,01,001,0,0,"21,5",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"21,5","21,5",Não,00000001,Padrão,,S,4/7/2022,0,0
00003447,N,AMAZON AWS SERVICOS BRASIL LTDA,13,00003447,N,10757,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,4/14/2022,4/14/2022,00,001,0,0,"586,45",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"586,45","586,45",Não,00000001,Padrão,,S,4/14/2022,0,0
00003448,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003448,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,4/18/2022,4/18/2022,01,001,0,0,"8,57",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"8,57","8,57",Não,00000001,Padrão,,S,4/18/2022,0,0
00003449,N,BRIAN S. BITTENCOURT ENTREGAS RÁPIDAS ME ,13,00003449,N,10588,C.E.S.A.R - CURITIBA,38,CAMILLA M ARRUDA DA P DE MOURA,,Não,4/20/2022,4/26/2022,00,001,0,0,"212,1",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"212,1","212,1",Não,00000001,Padrão,,S,4/20/2022,0,0
00003450,N,UBER DO BRASIL TECNOLOGIA LTDA.,13,00003450,N,10038,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,4/28/2022,4/28/2022,08,001,0,0,"54,86",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"54,86","54,86",Não,00000001,Padrão,,S,4/28/2022,0,0
00003451,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003451,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,5/2/2022,5/3/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,5/2/2022,0,0
00003452,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003452,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,5/4/2022,5/4/2022,00,001,0,0,"867,24",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"867,24","867,24",Não,00000001,Padrão,,S,5/4/2022,0,0
00003453,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003453,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,5/12/2022,5/13/2022,01,001,0,0,"10,75",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10,75","10,75",Não,00000001,Padrão,,S,5/12/2022,0,0
00003454,N,AMAZON AWS SERVICOS BRASIL LTDA,13,00003454,N,10757,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,5/12/2022,5/13/2022,00,001,0,0,673,R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,673,673,Não,00000001,Padrão,,S,5/12/2022,0,0
00003455,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003455,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,5/12/2022,5/13/2022,01,001,0,0,"9,28",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"9,28","9,28",Não,00000001,Padrão,,S,5/12/2022,0,0
00003456,N,COLETIVO BATEL - ESPACO DE COWORKING LTDA.,13,00003456,N,10797,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,6/2/2022,6/2/2022,00,001,0,0,"7.867,25",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"7.867,25","7.867,25",Não,00000001,Padrão,,S,6/2/2022,0,0
00003457,N,EMPRESA BRASILEIRA DE CORREIOS E TELEGRÁFOS,13,00003457,N,5340,C.E.S.A.R - CURITIBA,25,VICTOR SOUZA,,Não,6/7/2022,6/7/2022,00,001,0,0,"922,5",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"922,5","922,5",Não,00000001,Padrão,,S,6/7/2022,0,0
00003458,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003458,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,6/9/2022,6/14/2022,01,001,0,0,"9,28",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"9,28","9,28",Não,00000001,Padrão,,S,6/9/2022,0,0
00003459,N,BANCO SANTANDER BRASIL (CARTÃO) ,13,00003459,N,5755,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,6/9/2022,6/14/2022,01,001,0,0,"10,75",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"10,75","10,75",Não,00000001,Padrão,,S,6/9/2022,0,0
00003460,N,AMAZON AWS SERVICOS BRASIL LTDA,13,00003460,N,10757,C.E.S.A.R - CURITIBA,34,ALINE DAVINO DA SILVA ,,Não,6/9/2022,6/14/2022,00,001,0,0,"683,7",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"683,7","683,7",Não,00000001,Padrão,,S,6/9/2022,0,0
