Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003225,N,DANILO DE FREITAS BARBOSA LEOCADIO- 4104528896,015,00003225,N,11427,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,1/7/2022,2/21/2022,30,001,0,0,"2.835,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"2.835,00","2.835,00",Não,00000001,Padrão,,S,1/7/2022,0,0
00003226,N,CENTRO DE EST. E SIST. AVANC. RECIFE,015,00003226,N,2006,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/8/2022,12/30/2021,15,001,0,0,"1.756,94",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.756,94","1.756,94",Não,00000001,Padrão,,S,1/8/2022,0,0
00003227,N,FIT IN COMPANY TREINAMENTOS ESPORTIVOS - EIRELI - ME,015,00003227,N,8043,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/10/2022,1/10/2022,00,001,0,0,"1.786,00",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.786,00","1.786,00",Não,00000001,Padrão,,S,1/10/2022,0,0
00003228,N,TELEFONICA BRASIL S.A.,015,00003228,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/19/2022,1/19/2022,00,001,0,0,"151,2",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"151,2","151,2",Não,00000001,Padrão,,S,1/19/2022,0,0
00003229,N,TELEFONICA BRASIL S.A.,015,00003229,N,345,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/19/2022,1/19/2022,00,001,0,0,"1.988,61",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"1.988,61","1.988,61",Não,00000001,Padrão,,S,1/19/2022,0,0
00003230,N,BANCO SANTANDER BRASIL (CARTÃO) ,015,00003230,N,5755,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,1/24/2022,1/20/2022,15,001,0,0,"21,5",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"21,5","21,5",Não,00000001,Padrão,,S,1/24/2022,0,0
00003231,N,LIBRA IMÓVEIS E NEGÓCIOS LTDA.,015,00003231,N,9361,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/31/2022,1/31/2022,00,001,0,0,"9.950,30",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"9.950,30","9.950,30",Não,00000001,Padrão,,S,1/31/2022,0,0
00003232,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003232,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/31/2022,1/31/2022,00,001,0,0,"98,91",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"98,91","98,91",Não,00000001,Padrão,,S,1/31/2022,0,0
00003233,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003233,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/31/2022,1/31/2022,00,001,0,0,"524,78",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"524,78","524,78",Não,00000001,Padrão,,S,1/31/2022,0,0
00003234,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003234,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/31/2022,1/31/2022,00,001,0,0,"147,94",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"147,94","147,94",Não,00000001,Padrão,,S,1/31/2022,0,0
00003235,N,UBER DO BRASIL TECNOLOGIA LTDA.,015,00003235,N,10038,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,1/31/2022,1/31/2022,08,001,0,0,"240,17",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"240,17","240,17",Não,00000001,Padrão,,S,1/31/2022,0,0
